qid,doc_id,seedA,seedB,packedN_A,packedN_B,common_u,same_nn,diff_nn,picked_A,picked_B,avg_abs_l2_gap,delta_total,prematched_flow,prematch_ratio,residual_mass,nz_plus,nz_minus,prematch_cost,baseline_A,residual_A,total_A,improve_A,baseline_B,residual_B,total_B,improve_B,t_parse,t_compare,t_prematch,t_costA_base,t_costA_res,t_costB_base,t_costB_res,t_total
0,0,110,111,174,159,34,0,34,17,17,0.645047037040486,0.9534883720930234,0.25581395348837205,0.2682926829268292,0.6976744186046513,33,30,1.296618028394827,5.602993011474609,4.262121200561523,5.55873922895635,0.0442537825182594,5.660527229309082,4.1511006355285645,5.447718663923391,0.21280856538569104,0.00011240099956921767,0.009306542000558693,0.00010349999956815736,0.7843454290004956,0.39833909800017864,0.4018451700003425,0.4035929780002334,1.9976538179998897
0,1,110,111,137,124,33,6,27,20,13,0.35886719010092993,0.9705882352941178,0.40497737556561103,0.4172494172494174,0.5656108597285068,22,17,2.249483386315911,5.931135177612305,3.6351218223571777,5.884605208673088,0.04652996893921646,5.958291530609131,3.6925885677337646,5.942071954049675,0.016219576559455717,0.00024430099983874243,0.0008042039999054396,0.00015310100025089923,0.39887915600047563,0.40039686300042376,0.3970590489998358,0.39962435999950685,1.5971703340001113
0,2,110,111,113,107,33,3,30,16,17,0.8932386889602199,0.9705882352941178,0.44343891402714936,0.45687645687645684,0.5271493212669683,21,8,2.409927744671231,6.016258239746094,3.485055923461914,5.894983668133145,0.12127457161294863,6.057068347930908,3.4079082012176514,5.817835945888882,0.23923240204202578,0.00011079999967478216,0.0005780029996458325,8.509999952366343e-05,0.3971589490001861,0.3928889299995717,0.39537984099933965,0.4076308979992973,1.5938419209996937
0,3,110,111,146,135,33,2,31,13,20,0.8057748693408389,0.9705882352941178,0.3739495798319327,0.38528138528138517,0.5966386554621851,22,20,1.9921332061791621,5.552578449249268,3.7732532024383545,5.765386408617516,-0.2128079593682486,5.9106974601745605,3.8180971145629883,5.81023032074215,0.10046713943241059,0.0001125999997384497,0.0006695040001432062,0.00010099999963131268,0.3939078339999469,0.3941240359999938,0.40329797899994446,0.4000979640004516,1.5923195169998507
0,4,110,111,599,526,34,1,33,21,13,0.8144234138376573,0.9814126394052046,0.0594795539033457,0.06060606060606057,0.9219330855018587,34,248,0.29696847692298184,6.033804416656494,5.722066402435303,6.019034879358284,0.014769537298209734,6.084588527679443,5.7564826011657715,6.053451078088753,0.031137449590690203,0.00012730000071314862,0.0005856030002178159,0.00031160099933913443,0.415451935999954,0.4111651160001202,0.4080311009993238,0.39733545200033404,1.6330175090006378
0,5,110,111,165,153,34,1,33,18,16,0.7468858185936423,0.9487179487179489,0.17948717948717946,0.18918918918918912,0.7692307692307693,34,30,0.9592720484122252,6.06298828125,5.069074630737305,6.02834667914953,0.034641602100469626,6.006856918334961,5.051833629608154,6.01110567802038,-0.004248759685419046,0.00011880100009875605,0.0006159030008348054,0.00014370000008057104,0.4002594660005343,0.39581365199956053,0.40178502699927776,0.3998257179991924,1.598572267000236
0,6,110,111,606,522,34,3,31,18,16,1.1091082937577192,0.9846153846153848,0.06153846153846154,0.06249999999999999,0.9230769230769234,34,240,0.33119463462096,6.099759101867676,5.745638847351074,6.076833481972034,0.022925619895641347,6.133167743682861,5.777114391326904,6.1083090259478645,0.024858717734996816,0.00011489999997138511,0.0006636030002482585,0.0003055020006286213,0.39195438000024296,0.39293758500025433,0.396449603000292,0.40241733099992416,1.5848526039999342
0,7,110,111,323,278,34,2,32,22,12,0.8854835769709419,0.990909090909091,0.13636363636363638,0.13761467889908258,0.8545454545454543,34,94,0.6605157494544983,5.828949928283691,5.0219550132751465,5.682470762729645,0.14647916555404628,5.899478912353516,5.195439338684082,5.855955088138581,0.04352382421493495,0.00011670000003505265,0.0005933029997322592,0.0002107009995597764,0.4080982590003259,0.39811921100044856,0.40014442000028794,0.3965483040001345,1.6038399979997848
0,8,110,111,171,152,34,0,34,19,15,0.7787487436743343,1.0,0.27499999999999997,0.27499999999999997,0.725,34,29,1.4616436600685119,6.218672752380371,4.571127891540527,6.03277155160904,0.18590120077133143,6.078145980834961,4.631110668182373,6.092754328250885,-0.014608347415924428,0.00011340099990775343,0.0006172029998197104,0.00011339999946358148,0.39496299600068596,0.392905487000462,0.39674290499988274,0.3932212879999497,1.5786867799997708
0,9,110,111,155,143,34,5,29,20,14,0.8884311633951524,1.0,0.3111954459203036,0.3111954459203036,0.6888045540796964,24,25,1.5729227317126022,6.0339813232421875,4.424667835235596,5.9975905669481975,0.03639075629399002,6.21014928817749,4.40781831741333,5.980741049125932,0.22940823905155838,0.00011610100045800209,0.0005784029999631457,0.00012229999992996454,0.39239888500014786,0.39297208700008923,0.39704920799977117,0.4051064459999907,1.5883524300006684
0,10,110,111,270,254,34,2,32,20,14,0.8331499450347003,1.0,0.15384615384615383,0.15384615384615383,0.8461538461538466,34,77,0.7493971075330462,6.090459823608398,5.31125020980835,6.060647317341396,0.02981250626700227,6.065332412719727,5.308626651763916,6.058023759296963,0.007308653422763989,0.00011809999978140695,0.0006286029993134434,0.0001437009996152483,0.4021699320001062,0.4033684389996779,0.399620528000014,0.40692726299948845,1.612985765999838
0,11,110,111,310,271,34,1,33,10,24,0.6208621614119586,0.9911504424778762,0.11504424778761062,0.11607142857142856,0.8761061946902655,34,99,0.5865068794351763,6.1667938232421875,5.585160255432129,6.171667134867305,-0.004873311625117616,6.250580787658691,5.5740509033203125,6.160557782755489,0.0900230049032027,0.0001198009995277971,0.0006010030001561972,0.00015870100014581112,0.4026664430002711,0.4040282500000103,0.41599680699982855,0.4010833360007382,1.6246647409998332
0,12,110,111,135,122,34,1,33,15,19,0.8139603278216194,1.0,0.3925831202046037,0.3925831202046037,0.6074168797953964,24,16,2.1058610851502477,5.738648414611816,3.5888452529907227,5.69470633814097,0.043942076470846025,5.838738918304443,3.775970220565796,5.881831305716044,-0.043092387411600264,0.00012580000020534499,0.000629103000392206,0.00010710100013966439,0.3942749030002233,0.3980060220001178,0.3960514119999061,0.39894692599955306,1.588150967000729
0,13,110,111,141,130,33,5,28,19,14,0.6219447742808949,0.9705882352941178,0.20798319327731096,0.2142857142857143,0.7626050420168069,27,23,1.0988666139730887,6.0419745445251465,4.851913928985596,5.950780542958684,0.09119400156646229,5.963225841522217,4.862736701965332,5.9616033159384205,0.0016225255837962749,0.00011240000003454043,0.0005624030000035418,9.169999975711107e-05,0.39264789600019867,0.40311064700017596,0.39850632500019856,0.394544906000192,1.5895854770005826
0,14,110,111,156,145,34,5,29,24,10,0.6978794055826524,1.0,0.24816176470588233,0.24816176470588233,0.7518382352941178,26,25,1.1618828791029312,6.148447513580322,4.9171624183654785,6.07904529746841,0.06940221611191255,6.331684589385986,4.910117149353027,6.0720000284559585,0.2596845609300278,0.00011600099969655275,0.0005805020000479999,9.760100056155352e-05,0.4018927419992906,0.40145923900035996,0.4129026949995023,0.39739792100044724,1.6144556010003726
0,15,110,111,849,805,34,1,33,17,17,0.6907225216136259,0.9902676399026765,0.0389294403892944,0.039312039312039304,0.9513381995133822,34,391,0.19668383957985833,5.93707799911499,5.7288079261779785,5.925491765757837,0.011586233357153475,6.057425022125244,5.836887836456299,6.033571676036157,0.02385334608908707,0.00011820000054285629,0.0005881030001546605,0.00037510200036194874,0.4020285429996875,0.3933870990003925,0.3950861539997277,0.39792796800065844,1.58952096899975
0,16,110,111,277,261,34,2,32,19,15,0.8035914407056921,1.0,0.14893617021276592,0.14893617021276592,0.8510638297872344,34,80,0.7271239275627948,5.850088119506836,5.10106897354126,5.828192901104055,0.02189521840278097,6.0211992263793945,5.191735744476318,5.918859672039114,0.10233955434028097,0.00012050100031046895,0.0005671019998771953,0.00018410099983157124,0.3966388620001453,0.3913388370001485,0.3982813700004044,0.39889507299994875,1.5860358460004136
0,17,110,111,1533,1504,34,0,34,18,16,1.10619457153713,0.9926739926739928,0.02808302808302807,0.028290282902829013,0.9645909645909648,34,790,0.13457978303033644,6.1541948318481445,6.0086469650268555,6.143226748057192,0.010968083790952932,6.29549503326416,6.131658554077148,6.266238337107485,0.029256696156675588,0.00011799999992945231,0.000575903000026301,0.0006482030003098771,0.4041067979997024,0.40093188199989527,0.4018164869994507,0.3992510759999277,1.607457448999412
